  0		800			50				750 
  1		400			60				340 
  2		310			40				270 
  3		330			40				290 
  4		320			50				270 
  5		370			60				310 
  6		310			50				260 
  7		350			50				300 
  8		350			70				280 
  9		380			70				310 
 10		420			50				370 
 11		500			50				450 
 12		360			50				310 
 13		400			50				350 
 14		770			40				730 
 15		380			50				330 
 16		460			60				400 
 17		410			70				340 
 18		390			50				340 
 19		400			50				350 
 20		360			50				310 
 21		420			60				360 
 22		350			40				310 
 23		550			50				500 
 24		540			120				420 
 25		310			40				270 
 26		340			40				300 
 27		350			40				310 
 28		360			40				320 
 29		320			40				280 
 30		370			50				320 
 31		450			50				400 
 32		410			70				340 
 33		400			80				320 
 34		350			60				290 
 35		360			50				310 
 36		350			50				300 
 37		360			50				310 
 38		350			40				310 
 39		330			40				290 
 40		340			50				290 
 41		350			40				310 
 42		340			40				300 
 43		350			40				310 
 44		340			40				300 
 45		350			40				310 
 46		340			40				300 
 47		260			40				220 
 48		260			40				220 
 49		260			40				220 
 50		260			40				220 
 51		260			40				220 
 52		260			50				210 
 53		260			40				220 
 54		260			40				220 
 55		260			40				220 
 56		260			40				220 
 57		250			50				200 
 58		260			40				220 
 59		260			40				220 
 60		260			40				220 
 61		260			40				220 
 62		260			50				210 
 63		260			40				220 
 64		260			50				210 
 65		260			40				220 
 66		260			40				220 
 67		260			40				220 
 68		260			40				220 
 69		260			40				220 
 70		260			40				220 
 71		260			40				220 
 72		260			40				220 
 73		260			40				220 
 74		250			50				200 
 75		260			40				220 
 76		260			40				220 
 77		260			50				210 
 78		260			40				220 
 79		260			40				220 
 80		260			50				210 
 81		260			40				220 
 82		260			40				220 
 83		260			40				220 
 84		250			50				200 
 85		260			40				220 
 86		260			40				220 
 87		260			50				210 
 88		260			40				220 
 89		260			40				220 
 90		260			40				220 
 91		260			50				210 
 92		260			40				220 
